[2018-05-07 21:46:00,074][INFO] ## 2018-05-07T21:46:00.074069: step 55, loss 53.7657, acc 0.296875
[2018-05-07 21:46:00,364][INFO] ## 2018-05-07T21:46:00.364222: step 56, loss 53.5571, acc 0.328125
[2018-05-07 21:46:00,664][INFO] ## 2018-05-07T21:46:00.664383: step 57, loss 53.1081, acc 0.234375
[2018-05-07 21:46:00,977][INFO] ## 2018-05-07T21:46:00.977011: step 58, loss 54.5416, acc 0.171875
[2018-05-07 21:46:01,277][INFO] ## 2018-05-07T21:46:01.277171: step 59, loss 53.1242, acc 0.265625
[2018-05-07 21:46:01,567][INFO] ## 2018-05-07T21:46:01.567326: step 60, loss 53.1538, acc 0.34375
[2018-05-07 21:46:01,867][INFO] ## 2018-05-07T21:46:01.867485: step 61, loss 53.7258, acc 0.28125
[2018-05-07 21:46:02,170][INFO] ## 2018-05-07T21:46:02.170344: step 62, loss 54.5707, acc 0.203125
[2018-05-07 21:46:02,460][INFO] ## 2018-05-07T21:46:02.460499: step 63, loss 52.9239, acc 0.375
[2018-05-07 21:46:02,750][INFO] ## 2018-05-07T21:46:02.750653: step 64, loss 53.5054, acc 0.265625
[2018-05-07 21:46:03,033][INFO] ## 2018-05-07T21:46:03.033575: step 65, loss 54.5205, acc 0.296875
[2018-05-07 21:46:03,323][INFO] ## 2018-05-07T21:46:03.323730: step 66, loss 52.0602, acc 0.421875
[2018-05-07 21:46:03,613][INFO] ## 2018-05-07T21:46:03.613884: step 67, loss 54.975, acc 0.265625
[2018-05-07 21:46:03,906][INFO] ## 2018-05-07T21:46:03.906295: step 68, loss 50.9603, acc 0.328125
[2018-05-07 21:46:04,196][INFO] ## 2018-05-07T21:46:04.196449: step 69, loss 55.3698, acc 0.265625
[2018-05-07 21:46:04,486][INFO] ## 2018-05-07T21:46:04.486604: step 70, loss 54.6802, acc 0.34375
[2018-05-07 21:46:04,786][INFO] ## 2018-05-07T21:46:04.786764: step 71, loss 52.8168, acc 0.328125
[2018-05-07 21:46:05,069][INFO] ## 2018-05-07T21:46:05.069654: step 72, loss 53.1632, acc 0.28125
[2018-05-07 21:46:05,359][INFO] ## 2018-05-07T21:46:05.359809: step 73, loss 54.2771, acc 0.3125
[2018-05-07 21:46:05,639][INFO] ## 2018-05-07T21:46:05.639958: step 74, loss 56.2875, acc 0.21875
[2018-05-07 21:46:05,933][INFO] ## 2018-05-07T21:46:05.933026: step 75, loss 53.295, acc 0.34375
[2018-05-07 21:46:06,223][INFO] ## 2018-05-07T21:46:06.223180: step 76, loss 50.972, acc 0.375
[2018-05-07 21:46:06,513][INFO] ## 2018-05-07T21:46:06.513334: step 77, loss 51.1067, acc 0.375
[2018-05-07 21:46:06,803][INFO] ## 2018-05-07T21:46:06.803489: step 78, loss 53.1846, acc 0.3125
[2018-05-07 21:46:07,097][INFO] ## 2018-05-07T21:46:07.097052: step 79, loss 52.6065, acc 0.328125
[2018-05-07 21:46:07,387][INFO] ## 2018-05-07T21:46:07.387206: step 80, loss 53.5376, acc 0.265625
[2018-05-07 21:46:07,677][INFO] ## 2018-05-07T21:46:07.677360: step 81, loss 53.116, acc 0.3125
[2018-05-07 21:46:07,977][INFO] ## 2018-05-07T21:46:07.977078: step 82, loss 51.8099, acc 0.34375
[2018-05-07 21:46:08,267][INFO] ## 2018-05-07T21:46:08.267233: step 83, loss 51.8784, acc 0.359375
[2018-05-07 21:46:08,567][INFO] ## 2018-05-07T21:46:08.567392: step 84, loss 53.1054, acc 0.328125
[2018-05-07 21:46:08,857][INFO] ## 2018-05-07T21:46:08.857547: step 85, loss 55.0599, acc 0.265625
[2018-05-07 21:46:09,143][INFO] ## 2018-05-07T21:46:09.143078: step 86, loss 52.6906, acc 0.40625
[2018-05-07 21:46:09,423][INFO] ## 2018-05-07T21:46:09.423227: step 87, loss 52.3434, acc 0.4375
[2018-05-07 21:46:09,723][INFO] ## 2018-05-07T21:46:09.723387: step 88, loss 55.7952, acc 0.265625
[2018-05-07 21:46:10,006][INFO] ## 2018-05-07T21:46:10.006788: step 89, loss 51.3761, acc 0.359375
[2018-05-07 21:46:10,286][INFO] ## 2018-05-07T21:46:10.286937: step 90, loss 53.2328, acc 0.1875
[2018-05-07 21:46:10,587][INFO] ## 2018-05-07T21:46:10.587097: step 91, loss 54.9397, acc 0.265625
[2018-05-07 21:46:10,877][INFO] ## 2018-05-07T21:46:10.877252: step 92, loss 54.2573, acc 0.28125
[2018-05-07 21:46:11,167][INFO] ## 2018-05-07T21:46:11.167711: step 93, loss 54.786, acc 0.265625
[2018-05-07 21:46:11,457][INFO] ## 2018-05-07T21:46:11.457866: step 94, loss 47.7839, acc 0.5
[2018-05-07 21:46:11,758][INFO] ## 2018-05-07T21:46:11.758026: step 95, loss 51.1358, acc 0.359375
[2018-05-07 21:46:12,060][INFO] ## 2018-05-07T21:46:12.060872: step 96, loss 55.1055, acc 0.234375
[2018-05-07 21:46:12,351][INFO] ## 2018-05-07T21:46:12.351027: step 97, loss 52.1405, acc 0.265625
[2018-05-07 21:46:12,641][INFO] ## 2018-05-07T21:46:12.641182: step 98, loss 54.1583, acc 0.21875
[2018-05-07 21:46:12,934][INFO] ## 2018-05-07T21:46:12.934042: step 99, loss 54.9702, acc 0.25
[2018-05-07 21:46:13,234][INFO] ## 2018-05-07T21:46:13.224197: step 100, loss 52.8746, acc 0.28125
[2018-05-07 21:46:13,234][INFO] ## 
Evaluation:
[2018-05-07 21:46:29,776][INFO] ## dev_loss 999.891, dev_acc 0.294415, num_dev_batches 18.5312
[2018-05-07 21:46:30,068][INFO] ## 2018-05-07T21:46:30.068026: step 120, loss 54.7432, acc 0.28125
[2018-05-07 21:46:30,358][INFO] ## 2018-05-07T21:46:30.358180: step 121, loss 52.2401, acc 0.328125
[2018-05-07 21:46:30,648][INFO] ## 2018-05-07T21:46:30.648335: step 122, loss 52.8037, acc 0.265625
[2018-05-07 21:46:30,931][INFO] ## 2018-05-07T21:46:30.931119: step 123, loss 50.4405, acc 0.46875
[2018-05-07 21:46:31,221][INFO] ## 2018-05-07T21:46:31.221273: step 124, loss 54.3108, acc 0.3125
[2018-05-07 21:46:31,511][INFO] ## 2018-05-07T21:46:31.511429: step 125, loss 54.7466, acc 0.296875
[2018-05-07 21:46:31,801][INFO] ## 2018-05-07T21:46:31.801583: step 126, loss 53.6275, acc 0.265625
[2018-05-07 21:46:32,094][INFO] ## 2018-05-07T21:46:32.094436: step 127, loss 51.0477, acc 0.375
[2018-05-07 21:46:32,384][INFO] ## 2018-05-07T21:46:32.384590: step 128, loss 50.133, acc 0.390625
[2018-05-07 21:46:32,664][INFO] ## 2018-05-07T21:46:32.664740: step 129, loss 53.4595, acc 0.25
[2018-05-07 21:46:32,957][INFO] ## 2018-05-07T21:46:32.957948: step 130, loss 50.2818, acc 0.40625
[2018-05-07 21:46:33,258][INFO] ## 2018-05-07T21:46:33.258107: step 131, loss 54.1807, acc 0.3125
[2018-05-07 21:46:33,558][INFO] ## 2018-05-07T21:46:33.558267: step 132, loss 52.9625, acc 0.265625
[2018-05-07 21:46:33,848][INFO] ## 2018-05-07T21:46:33.848422: step 133, loss 53.4409, acc 0.3125
[2018-05-07 21:46:34,141][INFO] ## 2018-05-07T21:46:34.141246: step 134, loss 53.0469, acc 0.265625
[2018-05-07 21:46:34,431][INFO] ## 2018-05-07T21:46:34.431401: step 135, loss 51.2447, acc 0.296875
[2018-05-07 21:46:34,721][INFO] ## 2018-05-07T21:46:34.721555: step 136, loss 51.0261, acc 0.359375
[2018-05-07 21:46:35,014][INFO] ## 2018-05-07T21:46:35.014537: step 137, loss 52.7628, acc 0.328125
[2018-05-07 21:46:35,294][INFO] ## 2018-05-07T21:46:35.294687: step 138, loss 52.1376, acc 0.296875
[2018-05-07 21:46:35,594][INFO] ## 2018-05-07T21:46:35.594846: step 139, loss 52.9785, acc 0.234375
[2018-05-07 21:46:35,889][INFO] ## 2018-05-07T21:46:35.889701: step 140, loss 51.2414, acc 0.25
